53.5635202,10.0206678,Graumannsweg 32,Anna Böttcher   geb. Stock,""
53.5618923,10.0146625,An der Alster 1,Anna Casper geb. Sittenfeld,""
53.552852,9.998093,Ferdinandstraße 67,Anna Cohen   geb. Cohen-Schwerin,""
53.5582478,9.9696869,Marktstraße 94,Anna Croner,""
53.549402,9.941336,Behnstraße 36,Anna Daus,""
53.6346058,10.1635649,Meiendorfer Weg 61,Anna Daus   geb. Marcus,""
53.5513380,9.9771626,Peterstraße 28,Anna Eismann   geb. Hustedt,""
53.5867226,9.9822176,Lenhartzstraße 10,Anna Eva Sussmann   geb. Bernheim,""
53.5658773,9.9849177,Von-Melle-Park 5,Anna Fells geb. Kallmann,""
53.5834444,9.9843123,Eppendorfer Baum 19,Anna Franziska Cohn,""
53.5842622,9.9975727,Agnesstraße 62,Anna Hertz   geb. Seligmann,""
53.579330,9.988682,Rothenbaumchaussee 207,Anna Hess   geb. Daniel,""
53.5817454,9.9876772,Klosterstern 5,Anna Heymann   geb. Fränkel,""
53.5705679,9.9967512,Milchstraße 4,Anna Hirsch,""
53.6521723,10.1236212,Hohe Reihe 25,Anna Hofmann,""
53.5808485,9.9903470,Harvestehuder Weg 114,Anna Kayser   geb. Josephs,""
53.5541226,10.0117230,Hansaplatz 4,Anna Keldorf,""
53.5831973,9.9939999,Heilwigstraße 46,Anna Lehmann,""
,,Barmbeker Straße 127,Anna Levy,""
53.5686688,9.9971880,Böttgerstraße 5,Anna Lippmann geb. von der Porten,""
53.5825949,9.9862345,Eppendorfer Baum 11,Anna Loewenberg,""
53.5617026,10.0377235,Hasselbrookstraße 6,Anna Loewy,""
53.5783633,9.9973340,Harvestehuder Weg 55,Anna Maria Kugelmann   geb. Wolff,""
53.5828185,9.9883156,Oderfelder Straße 7,Anna Mathiason   geb. Spiro,""
53.5866538,9.9865297,Loogestieg 10,Anna Mendel   geb. Arnheim,""
53.5813189,9.9866871,Jungfrauenthal 8,Anna Messias   geb. Hesse,""
53.5652237,9.9829238,Grindelallee 21,Anna Neumark geb. Levy,""
,,Kiebitzstraße 38,Anna Oehlke,""
53.570629,9.983082,Rutschbahn 31,Anna Pilatus geb. Levy,""
53.579744,9.988566,Rothenbaumchaussee 217,Anna Polak,""
53.5746057,9.9820215,Brahmsallee 24,Anna Pulvermacher   geb. Mayer,""
53.550078,9.966724,Reeperbahn 15,Anna Reichmann,""
53.5891545,9.9877056,Gustav-Leo-Straße 4,Anna Rosenbaum,""
53.5560547,9.9769168,Sievekingplatz 1,Anna Rosenberg,""
53.597016,10.042415,Tischbeinstraße 2,Anna Rosenberg,""
53.5732378,9.9820261,Brahmsallee 8,Anna Rothenberg   geb. Hiller,""
53.6328991,10.0447921,Wellingsbütteler Landstraße 165,Anna Röhmann geb. Cossmann,""
53.5708622,9.9818190,Rutschbahn 18,Anna Saffra geb. Schönstädt,""
53.579247,9.986341,Hochallee 76,Anna Schiff   geb. Wertheimer,""
53.5891629,9.9877063,Gustav-Leo-Straße 4,Anna Schönfeld   geb. Falk,""
53.5930408,10.0004375,Eppendorfer Stieg 11,Anna Seidner   geb. Peschek,""
53.4625142,9.9818983,Schloßmühlendamm 16,Anna Weinstein   geb. Neufeld,""
,,Zimmerstraße 29–33,Anna-Luise Lübcke,""
53.5698444,9.9842977,Grindelhof 61,Anneliese Deutsch geb. Weil,""
53.5346770,10.0457394,Marckmannstraße 135,Anneliese Drost,""
53.5794595,9.9745424,Hoheluftchaussee 19,Anneliese Jaffé,""
53.5791026,9.9640980,Mansteinstraße 49,Anneliese Weinberg,""
53.5908371,9.9909680,Schrammsweg 29,Annemarie Deutschländer,""
53.5827135,10.0005274,Blumenstraße 34,Annemarie Ladewig,""
53.6317250,10.0199814,Erdkampsweg 85,Annemarie Stövhase geb. Kahl,""
53.5826573,9.9808893,Hegestraße 1,Anni Dettmann   geb. Bielefeld,""
53.5583919,9.9743596,Marktstraße 5,Anni Krümmel   geb. Bloch,""
53.5534016,10.0717406,Beim Rauhen Hause 30,Anni Levy,""
53.5346235,10.0389647,Billhorner Röhrendamm Ecke Lindleystraße,Anni Schwarz   geb. Linden,""
53.5861796,9.9853054,Beim Andreasbrunnen 2,Annie Höxter   geb. Bos,""
53.5346780,10.0457062,Marckmannstraße 135,Antje Hinrichs,""
53.5657478,9.9813301,Durchschnitt 8,Antoinette Aron geb. Behr,""
53.5526708,9.9853694,Fuhlentwiete 10,Anton Hermann Emil Saefkow,""
,,Esmarchstraße 74,Anton Wohinz,""
53.5576429,10.0193272,Lohmühlenstraße 74,Anton Wohinz,""
,,Friedensallee 128,Antonia Kozlova,""
53.545972,9.981432,Stubbenhuk 38,Antonia Westenberg,""
53.574194,9.960212,Osterstraße 19,Antonie Magnus,""
53.576470,9.981757,Brahmsallee 39,Antonie Simon   geb. Pagener,""
53.55593,9.88152,Parkstraße 9,Antonie Thiele-Schmal   geb. Curiel,""
53.5618935,10.0325259,Lübecker Straße 110,Arno Bleich,""
53.5856651,9.9852927,Haynstraße 5,Arno Glassmann,""
53.548972,9.955263,Gilbertstraße 82,Arno Kubig,""
53.5510269,10.0417310,Grevenweg 89,Arno Zacharias,""
53.5662024,9.9954268,Mittelweg 16,Arnold Cohn,""
53.5713152,9.9808220,Heinrich-Barth-Straße 17,Arnold Cohn,""
53.5908376,9.9909541,Schrammsweg 29,Arnold Deutschländer,""
53.5701402,9.9812048,Rappstraße 6,Arnold Hagenow,""
53.6521839,10.1236575,Hohe Reihe 25,Arnold Hofmann,""
53.5614205,10.0362985,Angerstraße 44,Arnold Löwenthal,""
53.5806056,9.9811997,Isestraße 36,Arnold Meyer,""
53.581094,9.983500,Jungfrauenthal 37,Arnold Rosenbaum,""
53.5616284,10.0520162,Launitzweg 5,Arnold Ruben,""
53.5697468,9.9883889,Rothenbaumchaussee 83,Arnold Singer,""
53.5874931,10.0644073,Tondernstraße 26,Arnold Toschka,""
53.569915,9.964408,Hohe Weide 4,Arnold Zeckendorf,""
53.578336,9.976530,Grindelberg 90,Aron Adolf Stoppelmann,""
53.5503319,9.9808117,Großneumarkt 56,Aron Albert Cohen,""
53.5862677,9.9852419,Beim Andreasbrunnen 3,Aron Anton Münden,""
53.5748231,10.0221043,Winterhuder Weg 86,Aron Bezen,""
53.562299,9.956958,Max-Brauer-Allee 247,Aron Finkelstein,""
53.5818770,9.9822598,Isestraße 53,Aron Hertz Israel,""
53.5695126,9.9822542,Dillstraße 15,Aron Julius Rosemann,""
53.4575131,9.9851604,Rieckhoffstraße 1,Aron Marcus,""
53.561456,9.957592,Eifflerstraße 10 (früher Parallelstraße),Aron Rosenberg,""
,,Bansenstraße 13,Arondine Blättner   geb. Goldschmidt,""
